Date,Position,Trade Outcome,Entry Price,Exit Price,Points Gained,Exit Time
2015-04-30,Short,Closed End of Day,8164.0,8204.95,25.5,2015-04-30 15:15:00
2015-05-04,Short,Closed End of Day,8259.4,8342.65,25.5,2015-05-04 15:15:00
2015-05-05,Short,Closed End of Day,8320.1,8321.1,25.5,2015-05-05 15:15:00
2015-05-06,Short,SL Hit,8167.95,8267.95,-100.0,2015-05-06 09:15:00
2015-05-07,Short,Closed End of Day,8103.9,8047.15,56.75,2015-05-07 15:15:00
2015-05-08,Short,Closed End of Day,8162.25,8190.3,56.75,2015-05-08 15:15:00
2015-05-11,Short,Closed End of Day,8258.15,8320.05,56.75,2015-05-11 15:15:00
2015-05-12,Short,SL Hit,8180.1,8280.1,-100.0,2015-05-12 09:15:00
2015-05-13,Short,Closed End of Day,8243.9,8237.4,6.5,2015-05-13 15:15:00
2015-05-14,Short,Closed End of Day,8203.3,8221.15,6.5,2015-05-14 15:15:00
2015-05-15,Short,Closed End of Day,8248.5,8254.75,6.5,2015-05-15 15:15:00
2015-05-18,Short,Closed End of Day,8313.7,8376.2,6.5,2015-05-18 15:15:00
2015-05-19,Short,Closed End of Day,8357.8,8357.05,0.75,2015-05-19 15:15:00
2015-05-20,Short,Closed End of Day,8422.65,8413.15,9.5,2015-05-20 15:15:00
2015-05-21,Short,Closed End of Day,8395.95,8419.05,9.5,2015-05-21 15:15:00
2015-05-22,Short,Closed End of Day,8434.55,8448.35,9.5,2015-05-22 15:15:00
2015-05-25,Short,Closed End of Day,8429.1,8366.9,62.2,2015-05-25 15:15:00
2015-05-26,Short,Closed End of Day,8368.6,8354.8,13.8,2015-05-26 15:15:00
2015-05-27,Short,Closed End of Day,8320.8,8337.1,13.8,2015-05-27 15:15:00
2015-05-28,Short,Closed End of Day,8342.35,8319.0,23.35,2015-05-28 15:15:00
2015-05-29,Short,Closed End of Day,8357.65,8432.95,23.35,2015-05-29 15:15:00
2015-06-01,Short,Closed End of Day,8434.8,8422.55,12.25,2015-06-01 15:15:00
2015-06-02,Short,Closed End of Day,8395.75,8232.25,163.5,2015-06-02 15:15:00
2015-06-03,Short,Closed End of Day,8182.35,8148.55,33.8,2015-06-03 15:15:00
2015-06-04,Short,Closed End of Day,8137.0,8136.95,0.05,2015-06-04 15:15:00
2015-06-05,Short,Closed End of Day,8123.2,8113.9,9.3,2015-06-05 15:15:00
2015-06-08,Short,Closed End of Day,8079.9,8036.95,42.95,2015-06-08 15:15:00
2015-06-09,Short,Closed End of Day,8030.2,8015.45,14.75,2015-06-09 15:15:00
